Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DRY.WinForms\DRY.WinForms.csproj,File,DRY.WinForms\EmployeeInfo.Designer.cs,107,12,P:System.Windows.Forms.Control.Controls,,,,,this.Controls.Add(this.label2);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DRY.WinForms\DRY.WinForms.csproj,File,DRY.WinForms\EmployeeInfo.Designer.cs,107,12,M:System.Windows.Forms.Control.ControlCollection.Add(System.Windows.Forms.Control),,,,,this.Controls.Add(this.label2);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DRY.WinForms\DRY.WinForms.csproj,File,DRY.WinForms\EmployeeInfo.Designer.cs,106,12,T:System.Windows.Forms.TextBox,,,,,this.Controls.Add(this.tboxLastName);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DRY.WinForms\DRY.WinForms.csproj,File,DRY.WinForms\EmployeeInfo.Designer.cs,106,12,T:System.Windows.Forms.Control.ControlCollection,,,,,this.Controls.Add(this.tboxLastName);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DRY.WinForms\DRY.WinForms.csproj,File,DRY.WinForms\EmployeeInfo.Designer.cs,106,12,P:System.Windows.Forms.Control.Controls,,,,,this.Controls.Add(this.tboxLastName);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DRY.WinForms\DRY.WinForms.csproj,File,DRY.WinForms\EmployeeInfo.Designer.cs,106,12,M:System.Windows.Forms.Control.ControlCollection.Add(System.Windows.Forms.Control),,,,,this.Controls.Add(this.tboxLastName);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DRY.WinForms\DRY.WinForms.csproj,File,DRY.WinForms\EmployeeInfo.Designer.cs,105,12,T:System.Windows.Forms.Label,,,,,this.Controls.Add(this.label3);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DRY.WinForms\DRY.WinForms.csproj,File,DRY.WinForms\EmployeeInfo.Designer.cs,105,12,T:System.Windows.Forms.Control.ControlCollection,,,,,this.Controls.Add(this.label3);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DRY.WinForms\DRY.WinForms.csproj,File,DRY.WinForms\EmployeeInfo.Designer.cs,105,12,P:System.Windows.Forms.Control.Controls,,,,,this.Controls.Add(this.label3);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DRY.WinForms\DRY.WinForms.csproj,File,DRY.WinForms\EmployeeInfo.Designer.cs,105,12,M:System.Windows.Forms.Control.ControlCollection.Add(System.Windows.Forms.Control),,,,,this.Controls.Add(this.label3);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DRY.WinForms\DRY.WinForms.csproj,File,DRY.WinForms\EmployeeInfo.Designer.cs,104,12,T:System.Windows.Forms.TextBox,,,,,this.Controls.Add(this.tboxEmployeeID);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DRY.WinForms\DRY.WinForms.csproj,File,DRY.WinForms\EmployeeInfo.Designer.cs,104,12,T:System.Windows.Forms.Control.ControlCollection,,,,,this.Controls.Add(this.tboxEmployeeID);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DRY.WinForms\DRY.WinForms.csproj,File,DRY.WinForms\EmployeeInfo.Designer.cs,104,12,P:System.Windows.Forms.Control.Controls,,,,,this.Controls.Add(this.tboxEmployeeID);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DRY.WinForms\DRY.WinForms.csproj,File,DRY.WinForms\EmployeeInfo.Designer.cs,104,12,M:System.Windows.Forms.Control.ControlCollection.Add(System.Windows.Forms.Control),,,,,this.Controls.Add(this.tboxEmployeeID);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DRY.WinForms\DRY.WinForms.csproj,File,DRY.WinForms\EmployeeInfo.Designer.cs,103,12,T:System.Windows.Forms.Button,,,,,this.Controls.Add(this.btnGenerateEmployeeID);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DRY.WinForms\DRY.WinForms.csproj,File,DRY.WinForms\EmployeeInfo.Designer.cs,103,12,T:System.Windows.Forms.Control.ControlCollection,,,,,this.Controls.Add(this.btnGenerateEmployeeID);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DRY.WinForms\DRY.WinForms.csproj,File,DRY.WinForms\EmployeeInfo.Designer.cs,103,12,P:System.Windows.Forms.Control.Controls,,,,,this.Controls.Add(this.btnGenerateEmployeeID);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DRY.WinForms\DRY.WinForms.csproj,File,DRY.WinForms\EmployeeInfo.Designer.cs,103,12,M:System.Windows.Forms.Control.ControlCollection.Add(System.Windows.Forms.Control),,,,,this.Controls.Add(this.btnGenerateEmployeeID);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DRY.WinForms\DRY.WinForms.csproj,File,DRY.WinForms\EmployeeInfo.Designer.cs,102,12,P:System.Windows.Forms.Form.ClientSize,,,,,"this.ClientSize = new System.Drawing.Size(533, 329);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DRY.WinForms\DRY.WinForms.csproj,File,DRY.WinForms\EmployeeInfo.Designer.cs,101,12,T:System.Windows.Forms.AutoScaleMode,,,,,this.AutoScaleMode = System.Windows.Forms.AutoScaleMode.Font;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DRY.WinForms\DRY.WinForms.csproj,File,DRY.WinForms\EmployeeInfo.Designer.cs,101,12,T:System.Windows.Forms.AutoScaleMode,,,,,this.AutoScaleMode = System.Windows.Forms.AutoScaleMode.Font;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DRY.WinForms\DRY.WinForms.csproj,File,DRY.WinForms\EmployeeInfo.Designer.cs,101,12,F:System.Windows.Forms.AutoScaleMode.Font,,,,,this.AutoScaleMode = System.Windows.Forms.AutoScaleMode.Font;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DRY.WinForms\DRY.WinForms.csproj,File,DRY.WinForms\EmployeeInfo.Designer.cs,101,12,T:System.Windows.Forms.AutoScaleMode,,,,,this.AutoScaleMode = System.Windows.Forms.AutoScaleMode.Font;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DRY.WinForms\DRY.WinForms.csproj,File,DRY.WinForms\EmployeeInfo.Designer.cs,101,12,P:System.Windows.Forms.ContainerControl.AutoScaleMode,,,,,this.AutoScaleMode = System.Windows.Forms.AutoScaleMode.Font;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DRY.WinForms\DRY.WinForms.csproj,File,DRY.WinForms\EmployeeInfo.Designer.cs,100,12,P:System.Windows.Forms.ContainerControl.AutoScaleDimensions,,,,,"this.AutoScaleDimensions = new System.Drawing.SizeF(10F, 24F);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DRY.WinForms\DRY.WinForms.csproj,File,DRY.WinForms\EmployeeInfo.Designer.cs,96,12,T:System.Windows.Forms.Button,,,,,this.btnGenerateEmployeeID.Click += new System.EventHandler(this.BtnGenerateEmployeeID_Click);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DRY.WinForms\DRY.WinForms.csproj,File,DRY.WinForms\EmployeeInfo.Designer.cs,96,12,E:System.Windows.Forms.Control.Click,,,,,this.btnGenerateEmployeeID.Click += new System.EventHandler(this.BtnGenerateEmployeeID_Click);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DRY.WinForms\DRY.WinForms.csproj,File,DRY.WinForms\EmployeeInfo.Designer.cs,95,12,T:System.Windows.Forms.Button,,,,,this.btnGenerateEmployeeID.UseVisualStyleBackColor = true;
